MonsoonOP	WarehouseLocator	Quantity	SKU
d	B  -A-A -001-001-5	1	mon0000304447
d	B  -A-A -001-001-6	1	mon0001207258
d	B  -A-A -001-001-8	1	mon0001207246
d	B  -A-A -001-001-9	1	mon0001207245
d	B  -A-A -001-001-10	1	mon0000595898
d	B  -A-A -001-001-14	1	mon0000315213
d	B  -A-A -001-001-20	1	mon0001118325
d	B  -A-A -001-001-26	1	mon0001207281
d	B  -A-A -001-001-27	1	mon0000770630
d	B  -A-A -001-001-32	1	mon0000321701
d	B  -A-A -001-001-35	1	mon0001213298
d	B  -A-A -001-001-40	1	mon0000463493
d	B  -A-A -001-001-46	1	mon0001202596
d	B  -A-A -001-001-48	1	mon0001213311
d	B  -A-A -001-001-58	1	mon0001224640
d	B  -A-A -001-001-60	1	mon0001224639
d	B  -A-A -001-001-65	1	mon0000432190
d	B  -A-A -001-001-70	1	mon0001204074
d	B  -A-A -001-001-71	1	mon0001190241
d	B  -A-A -001-001-77	1	mon0000304313
d	B  -A-A -001-001-84	1	mon0001202282
d	B  -A-A -001-001-86	1	mon0001202271
d	B  -A-A -001-001-88	1	mon0001231791
d	B  -A-A -001-001-90	1	mon0001231793
d	B  -A-A -001-001-92	1	mon0001231794
d	B  -A-A -001-001-95	1	mon0000323213
d	B  -A-A -001-001-99	1	mon0001183304
d	B  -A-A -001-001-104	1	mon0000728416
d	B  -A-A -001-001-105	1	mon0001202223
d	B  -A-A -001-001-107	1	mon0001202225
d	B  -A-A -001-001-120	1	mon0001101902
d	B  -A-A -001-001-121	1	mon0001202192
d	B  -A-A -001-001-124	1	mon0000388765
d	B  -A-A -001-001-127	1	mon0000703384
d	B  -A-A -001-001-129	1	mon0001202132
d	B  -A-A -001-001-130	1	mon0000823492
d	B  -A-A -001-001-131	1	mon0001202117
d	B  -A-A -001-001-137	1	mon0001231796
d	B  -A-A -001-001-140	1	mon0000494771
d	B  -A-A -001-001-141	1	mon0001231797
d	B  -A-A -001-001-142	1	mon0001202153
d	B  -A-A -001-001-148	1	mon0000770403
d	B  -A-A -001-001-149	1	mon0001202136
d	B  -A-A -001-001-169	1	mon0001231820
d	B  -A-A -001-001-172	1	mon0001231832
d	B  -A-A -001-001-173	1	mon0001231833
d	B  -A-A -001-001-177	1	mon0000805663
d	B  -A-A -001-001-181	1	mon0001231837
d	B  -A-A -001-001-182	1	mon0001231838
d	B  -A-A -001-001-186	1	mon0001231839
d	B  -A-A -001-001-187	1	mon0000474607
d	B  -A-A -001-001-188	1	mon0000474607
d	B  -A-A -001-001-189	1	mon0001231840
d	B  -A-A -001-001-191	1	mon0000832600
d	B  -A-A -001-001-192	1	mon0001182644
d	B  -A-A -001-001-194	1	mon0000313447
d	B  -A-A -001-001-195	1	mon0000830214
d	B  -A-A -001-001-197	1	mon0001231841
d	B  -A-A -001-001-198	1	mon0001231842
d	B  -A-A -001-001-200	1	mon0001231843
d	B  -A-A -001-001-201	1	mon0001231844
d	B  -A-A -001-001-202	1	mon0001231845
d	B  -A-A -001-001-203	1	mon0001231846
d	B  -A-A -001-001-204	1	mon0000680868
d	B  -A-A -001-001-205	1	mon0001231847
d	B  -A-A -001-001-206	1	mon0001231848
d	B  -A-A -001-001-208	1	mon0000365474
d	B  -A-A -001-001-210	1	mon0001231850
d	B  -A-A -001-001-212	1	mon0001231861
d	B  -A-A -001-001-214	1	mon0000312375
d	B  -A-A -001-001-215	1	mon0001188435
d	B  -A-A -001-001-217	1	mon0001168276
d	B  -A-A -001-001-218	1	mon0001231863
d	B  -A-A -001-001-223	1	mon0001231866
d	B  -A-A -001-001-224	1	mon0001231867
d	B  -A-A -001-001-225	1	mon0001091432
d	B  -A-A -001-001-226	1	mon0001231868
d	B  -A-A -001-001-228	1	mon0000459361
d	B  -A-A -001-001-229	1	mon0001231869
d	B  -A-A -001-001-230	1	mon0000843617
d	W  -A-A -007-001-614	1	mon0000468004
d	W  -A-A -007-001-1275	1	mon0000351493
d	W  -A-A -007-001-1279	1	mon0000958964
d	W  -A-A -007-001-1762	1	mon0001114076
d	W  -A-A -007-001-1763	1	mon0001114076
d	W  -A-A -007-001-1764	1	mon0001114076
d	W  -A-A -007-001-1765	1	mon0001114076
d	W  -A-A -007-001-1766	1	mon0001114076
d	W  -A-A -007-001-1767	1	mon0001114076
d	W  -A-A -007-001-1768	1	mon0001114076
d	W  -A-A -007-001-1784	1	mon0001114229
d	W  -A-A -007-001-1800	1	mon0000774854
d	W  -A-A -007-001-1809	1	mon0001056575
d	W  -A-A -007-001-1811	1	mon0000354964
d	W  -A-A -007-001-1912	1	mon0001143076
d	W  -A-A -007-001-1913	1	mon0001143077
d	W  -A-A -007-001-1942	1	mon0000376773
d	W  -A-A -007-001-1963	1	mon0000830897
d	W  -A-A -007-001-1975	1	mon0001143118
d	W  -A-A -007-001-1987	1	mon0000954191
d	W  -A-A -007-001-1988	1	mon0001143126
d	W  -A-A -007-001-2001	1	mon0000438864
d	W  -A-A -007-001-2020	1	mon0000523303
d	W  -A-A -007-001-2030	1	mon0001147995
d	W  -A-A -007-001-2033	1	mon0001147997
d	W  -A-A -007-001-2037	1	mon0000310151
d	W  -A-A -007-001-2044	1	mon0001148012
d	W  -A-A -007-001-2045	1	mon0001053260
d	W  -A-A -007-001-2052	1	mon0000309720
d	W  -A-A -007-001-2101	1	mon0000323237
d	W  -A-A -007-001-2143	1	mon0001162048
d	W  -A-A -007-001-2159	1	mon0000474155
d	W  -A-A -007-001-2160	1	mon0000474155
d	W  -A-A -007-001-2172	1	mon0000464940
d	W  -A-A -007-001-2183	1	mon0001178095
d	W  -A-A -007-001-2190	1	mon0001178100
d	W  -A-A -007-001-2198	1	mon0001178106
d	W  -A-A -007-001-2206	1	mon0001178113
d	W  -A-A -007-001-2231	1	mon0000357809
d	W  -A-A -007-001-2233	1	mon0000553482
d	W  -A-A -007-001-2235	1	mon0000443697
d	W  -A-A -007-001-2240	1	mon0000485321
d	W  -A-A -007-001-2242	1	mon0001030871
d	W  -A-A -007-001-2243	1	mon0001192381
d	W  -A-A -007-001-2247	1	mon0001192384
d	W  -A-A -007-001-2255	1	mon0001185169
d	W  -A-A -007-001-2260	1	mon0000817262
d	W  -A-A -007-001-2312	1	mon0001209513
d	W  -A-A -007-001-2313	1	mon0001209513
d	W  -A-A -007-001-2330	1	mon0001209519
d	W  -A-A -007-001-2335	1	mon0001209522
d	W  -A-A -007-001-2339	1	mon0000748526
d	W  -A-A -007-001-2340	1	mon0000453288
